"Id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza"
28,"ESPAÑA","MELILLA  ","Centro de Educación Especial   ","REINA SOFÍA ",52004743,"Centro público"
29,"ESPAÑA","MELILLA ","Centro Privado Autorizado de Enseñanzas Deportivas ","FEDERACIÓN MELILLENSE DE FÚTBOL ",52004834,"Centro privado"
30,"ESPAÑA","MELILLA ","Centro Privado de Educación Infantil ","CRUZ ROJA ",52004846,"Centro privado"
31,"ESPAÑA","MELILLA ","Centro Privado de Educación Infantil ","DIVINA INFANTITA ",52000130,"Centro privado"
32,"ESPAÑA","MELILLA ","Centro Privado de Educación Infantil ","MERLÍN ",52004810,"Centro privado"
33,"ESPAÑA","MELILLA ","Centro Privado de Educación Infantil ","SAAVEDRA ",52000737,"Centro privado"
34,"ESPAÑA","MELILLA ","Centro Privado de Educación Infantil ","SANTA LUISA DE MARILLAC ",52000683,"Centro privado"
35,"ESPAÑA","MELILLA ","Centro Privado de Educación Infantil Primaria y Secundaria ","LA SALLE-EL CARMEN ",52000142,"Centro privado"
36,"ESPAÑA","MELILLA ","Centro Privado de Educación Infantil Primaria y Secundaria ","NTRA.SRA.DEL BUEN CONSEJO ",52000129,"Centro privado"
37,"ESPAÑA","MELILLA ","Centro Privado de Educación Infantil y Primaria ","ENRIQUE SOLER ",52000671,"Centro privado"
38,"ESPAÑA","MELILLA ","Centro Privado de Educación Infantil y Primaria ","LICEO SEFARDÍ ",52004792,"Centro privado"
39,"ESPAÑA","MELILLA ","Centro Privado de Preescolar ","CENTRO SOCIOCULTURAL Mª INMACULADA ",52004779,"Centro privado"
40,"ESPAÑA","MELILLA ","Centro Privado de Preescolar ","CRUZ ROJA ",52004767,"Centro privado"
41,"ESPAÑA","MELILLA ","Centro Público de Educación de Personas Adultas ","CARMEN CONDE ABELLÁN ",52000646,"Centro público"
42,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","ANSELMO PARDO ALCAIDE ",52000051,"Centro público"
43,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","C.E.I.P. Nº 13 ",52004809,"Centro público"
44,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","CONSTITUCIÓN ",52000634,"Centro público"
45,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","ESPAÑA ",52000014,"Centro público"
46,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","HIPÓDROMO ",52000725,"Centro público"
47,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","JUAN CARO ROMERO ",52000038,"Centro público"
48,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","LEÓN SOLÁ ",52000361,"Centro público"
49,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","MEDITERRÁNEO ",52000351,"Centro público"
50,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","PINTOR EDUARDO MORILLAS ",52004780,"Centro público"
51,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","REAL ",52000041,"Centro público"
52,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","REYES CATÓLICOS ",52000063,"Centro público"
53,"ESPAÑA","MELILLA ","Colegio de Educación Infantil y Primaria ","VELÁZQUEZ ",52000026,"Centro público"
54,"ESPAÑA","MELILLA ","Conservatorio Profesional de Música ","DE MELILLA ",52000506,"Centro público"
55,"ESPAÑA","MELILLA ","Escuela de Arte ","MIGUEL EMILIO MARMOLEJO FERNANDEZ ",52000373,"Centro público"
56,"ESPAÑA","MELILLA ","Escuela Infantil ","SAN FRANCISCO ",52004755,"Centro público"
57,"ESPAÑA","MELILLA ","Escuela Infantil ","VIRGEN DE LA VICTORIA ",52004731,"Centro público"
58,"ESPAÑA","MELILLA ","Escuela Oficial de Idiomas ","E.O.I.DE MELILLA ",52000610,"Centro público"
59,"ESPAÑA","MELILLA ","Instituto de Educación Secundaria ","ENRIQUE NIETO ",52000415,"Centro público"
60,"ESPAÑA","MELILLA ","Instituto de Educación Secundaria ","JUAN ANTONIO FERNANDEZ PEREZ ",52000661,"Centro público"
61,"ESPAÑA","MELILLA ","Instituto de Educación Secundaria ","LEOPOLDO QUEIPO ",52000397,"Centro público"
62,"ESPAÑA","MELILLA ","Instituto de Educación Secundaria ","MIGUEL FERNANDEZ ",52000658,"Centro público"
63,"ESPAÑA","MELILLA ","Instituto de Educación Secundaria ","REINA VICTORIA EUGENIA ",52000403,"Centro público"
64,"ESPAÑA","MELILLA ","Instituto de Educación Secundaria ","RUSADIR ",52000701,"Centro público"
